epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,894.683,1.12807,0.87031,0.93495,0.26339,0.17391,0.09568,0.04614,2.80916,3.25874,2.3853,0.000647,0.000647,0.000647
84,904.86,1.09241,0.87719,0.92445,0.22607,0.2029,0.10886,0.05766,2.66895,3.00861,2.21444,0.0006305,0.0006305,0.0006305
85,914.908,1.09382,0.88633,0.91264,0.27678,0.15459,0.14063,0.06389,2.64259,2.71373,2.18403,0.000614,0.000614,0.000614
86,924.807,1.06073,0.8369,0.89619,0.24239,0.19807,0.12088,0.0468,2.79821,2.62829,2.33467,0.0005975,0.0005975,0.0005975
87,934.721,1.11074,0.8544,0.91415,0.22918,0.21546,0.13557,0.06432,2.70337,2.96316,2.22889,0.000581,0.000581,0.000581
88,944.661,1.11455,0.84778,0.90392,0.24446,0.19324,0.09808,0.05577,2.79318,2.80131,2.39319,0.0005645,0.0005645,0.0005645
89,954.566,1.10534,0.83147,0.92844,0.26111,0.21256,0.13338,0.0606,2.61466,3.31726,2.15462,0.000548,0.000548,0.000548
90,964.519,1.09212,0.80413,0.92008,0.28311,0.23657,0.15432,0.07037,2.70879,2.4697,2.20483,0.0005315,0.0005315,0.0005315
91,974.465,1.06674,0.77818,0.87786,0.2232,0.24638,0.15084,0.07086,2.63645,2.58406,2.1331,0.000515,0.000515,0.000515
92,984.418,1.11133,0.79819,0.9083,0.25646,0.22705,0.15731,0.07606,2.67722,2.62604,2.24304,0.0004985,0.0004985,0.0004985
93,994.334,1.08563,0.86412,0.91396,0.29243,0.19324,0.14592,0.07305,2.72315,2.84553,2.27908,0.000482,0.000482,0.000482
94,1004.22,1.01722,0.76816,0.89745,0.22815,0.23671,0.15059,0.07265,2.62787,2.5815,2.14009,0.0004655,0.0004655,0.0004655
95,1014.18,1.07217,0.79793,0.91136,0.2745,0.18357,0.14163,0.06944,2.61603,2.52774,2.14845,0.000449,0.000449,0.000449
96,1024.16,1.1393,0.81715,0.90916,0.23372,0.1401,0.09843,0.05212,2.75912,2.88019,2.33968,0.0004325,0.0004325,0.0004325
97,1034.08,0.99532,0.7436,0.88655,0.32939,0.12077,0.09698,0.04941,2.79206,2.85183,2.33094,0.000416,0.000416,0.000416
98,1044.05,1.07575,0.76906,0.89069,0.29913,0.18357,0.14562,0.07797,2.68292,2.69332,2.21095,0.0003995,0.0003995,0.0003995
99,1054.01,1.11048,0.78396,0.91792,0.26179,0.25604,0.16216,0.06968,2.64733,3.10411,2.17472,0.000383,0.000383,0.000383
100,1063.96,0.99732,0.72963,0.88811,0.35983,0.15942,0.12791,0.06109,2.713,2.69547,2.26152,0.0003665,0.0003665,0.0003665
101,1073.87,1.00283,0.72737,0.87747,0.23606,0.22705,0.12839,0.06318,2.68504,2.71033,2.23421,0.00035,0.00035,0.00035
102,1083.81,1.07058,0.77619,0.91412,0.2605,0.18357,0.12681,0.06381,2.76728,2.73667,2.26487,0.0003335,0.0003335,0.0003335
103,1093.73,1.0392,0.75208,0.89338,0.15872,0.28893,0.11742,0.05426,2.76934,2.71856,2.33186,0.000317,0.000317,0.000317
104,1103.65,0.98759,0.70852,0.87491,0.27786,0.20773,0.15137,0.07106,2.75801,2.59119,2.26571,0.0003005,0.0003005,0.0003005
105,1113.62,1.02537,0.75502,0.90238,0.20166,0.23795,0.13334,0.06557,2.79558,2.49785,2.28322,0.000284,0.000284,0.000284
106,1123.56,1.01432,0.72872,0.89915,0.19796,0.2657,0.12415,0.06248,2.75056,2.65712,2.26346,0.0002675,0.0002675,0.0002675
107,1133.49,1.00499,0.77264,0.89633,0.27242,0.18841,0.15791,0.06908,2.68108,2.53123,2.20983,0.000251,0.000251,0.000251
108,1143.44,1.0131,0.72903,0.90446,0.20226,0.21739,0.12635,0.06694,2.70373,2.78259,2.24505,0.0002345,0.0002345,0.0002345
109,1153.64,1.00638,0.70472,0.87886,0.15792,0.24638,0.11435,0.05964,2.75908,2.77683,2.28539,0.000218,0.000218,0.000218
110,1163.88,0.98097,0.71717,0.8851,0.30282,0.17874,0.12727,0.06015,2.71492,2.70202,2.26239,0.0002015,0.0002015,0.0002015
111,1174.56,0.92229,0.7086,0.88219,0.23685,0.1256,0.09419,0.04834,2.78352,2.79515,2.32477,0.000185,0.000185,0.000185
112,1184.85,0.88496,0.64234,0.87029,0.17194,0.18841,0.0926,0.05004,2.83814,2.75697,2.38481,0.0001685,0.0001685,0.0001685
113,1195.23,0.90019,0.66405,0.87283,0.16203,0.22887,0.10861,0.05622,2.79561,2.80727,2.36005,0.000152,0.000152,0.000152
114,1205.6,0.88339,0.6329,0.8773,0.15142,0.24155,0.09899,0.05142,2.83822,2.88069,2.4259,0.0001355,0.0001355,0.0001355
115,1216.54,0.87344,0.62924,0.86124,0.14113,0.25121,0.09918,0.04927,2.89244,2.83068,2.48189,0.000119,0.000119,0.000119
116,1226.94,0.89206,0.63649,0.87925,0.17837,0.2029,0.10084,0.05233,2.88938,2.77529,2.48145,0.0001025,0.0001025,0.0001025
117,1237.28,0.87499,0.63744,0.87462,0.18211,0.19324,0.09966,0.0498,2.88634,2.76319,2.48548,8.6e-05,8.6e-05,8.6e-05
118,1247.39,0.88161,0.61914,0.86913,0.1646,0.22222,0.10377,0.05468,2.90305,2.77024,2.51155,6.95e-05,6.95e-05,6.95e-05
119,1257.59,0.84441,0.59126,0.86029,0.15037,0.23671,0.10189,0.05271,2.89525,2.67653,2.50075,5.3e-05,5.3e-05,5.3e-05
120,1267.85,0.85151,0.60997,0.86985,0.21305,0.14976,0.09378,0.04859,2.91583,2.74424,2.51172,3.65e-05,3.65e-05,3.65e-05
