name_file,real_eggs_images,counted_eggs_image,model_name,total_time,image_name,timestamp
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-4,29,22,best-train2.pt,38.493406,paleta-5-29.png,2025-03-26 21:52:41
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-4,12,15,best-train2.pt,39.957456,paleta-6-12.png,2025-03-26 21:52:41
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-4,32,38,best-train2.pt,37.988625,paleta-7-32.png,2025-03-26 21:52:41
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-4,0,21,best-train2.pt,38.454203,paleta-8-0.png,2025-03-26 21:52:41
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-5,18,21,best-train2.pt,47.897934,paleta-14-18.jpg,2025-03-26 22:00:15
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-5,103,49,best-train2.pt,48.54182,paleta-185-103.jpg,2025-03-26 22:00:15
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-5,34,52,best-train2.pt,41.106845,paleta-191-34.jpg,2025-03-26 22:00:15
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-5,46,46,best-train2.pt,48.034957,paleta-201-46.jpg,2025-03-26 22:00:15
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-5,152,150,best-train2.pt,47.937798,paleta-228-152.jpg,2025-03-26 22:00:15
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-5,47,44,best-train2.pt,43.977282,paleta-254-47.jpg,2025-03-26 22:00:15
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-5,12,12,best-train2.pt,48.110743,paleta-256-12.jpg,2025-03-26 22:00:15
/media/williancaddd/CODES/WORKSPACE-FIOTEC/eggs-count-algorithms/base-5,16,20,best-train2.pt,42.81147,paleta-38-16.jpg,2025-03-26 22:00:15
